Name,Position,Lane,Shuttle,Court,StandL,MaxL,Bench
Norris Cole,PG,10.07,0,3.22,29.5,38.5,11
James Young,SG,0,0,0,28,35.5,0
John Henson,PF,0,0,0,25.5,30,5
Justin Doellman,PF,0,0,0,0,0,19
Jianlian Yi,,0,0,0,0,0,0
Jamar Butler,PG,0,0,0,0,0,15
Pat Calathes,SF0PF,0,0,0,0,0,7
J.R. Giddens,SG,0,0,0,0,0,10
Shawn James,PF,0,0,0,0,0,6
Longar Longar,C,0,0,0,0,0,14
John Riek,C,0,0,0,0,0,0
Richard Roby,SG0SF,0,0,0,0,0,0
Sean Singletary,PG,0,0,0,26,0,18
DeMarre Carroll,PF0SF,0,0,0,0,0,0
Hasheem Thabeet,C,0,0,0,0,0,0
Eric Bledsoe,PG,0,0,0,0,0,9
Paul George,SF,0,0,0,0,0,4
Manny Harris,SG,0,0,0,0,0,11
Jerome Jordan,C,0,0,0,0,0,0
Dexter Pittman,PF0C,0,0,0,0,0,0
Jon Scheyer,PG0SG,0,0,0,0,0,0
Greivis Vasquez,PG0SG,0,0,0,0,0,0
Kyrie Irving,PG,0,0,0,0,0,0
Jared Cunningham,SG0PG,0,0,0,0,0,4
Anthony Davis,PF0C,0,0,0,0,0,0
Tomas Satoransky,PG0SG,0,0,0,0,0,0
Dion Waiters,SG,0,0,0,0,0,0
Royce White,PF,0,0,0,0,0,0
Seth Curry,SG,0,0,0,0,0,0
Gorgui Dieng,C,0,0,0,0,0,0
Jamaal Franklin,SG0SF,0,0,0,0,0,0
Erick Green,PG,0,0,0,0,0,5
Richard Howell,PF,0,0,0,0,0,0
Pierre Jackson,PG,0,0,0,0,0,0
Ryan Kelly,PF,0,0,0,0,0,0
Alex Len,C,0,0,0,0,0,0
Nerlens Noel,C,0,0,0,0,0,0
Nate Wolters,PG,0,0,0,0,0,8
BJ Young,SG0PG,0,0,0,0,0,0
Gary Harris,SG,0,0,0,0,0,0
Sean Kilpatrick,SG,0,0,0,0,0,0
Jerami Grant,SF,0,0,0,0,0,0
Kyle Anderson,SF,0,0,0,0,0,0
Adreian Payne,PF,0,0,0,0,0,0
Spencer Dinwiddie,PG,0,0,0,0,0,0
Kevon Looney,PF,0,0,0,0,0,0
Cliff Alexander,PF0C,0,0,0,0,0,0
Skal Labissiere,PF0C,0,0,0,0,0,0
Cat Barber,PG,0,0,0,0,0,0
Caris LeVert,SG,0,0,0,0,0,0
Elgin Cook,SF,0,0,0,0,0,0
Deyonta Davis,PF,0,0,0,0,0,0
Kris Dunn,PG,0,0,0,0,0,0
Buddy Hield,SG,0,0,0,0,0,0
Jakob Poeltl,C,0,0,0,0,0,0
Jaylen Brown,SG0SF,0,0,0,0,0,0
Wayne Selden,SG,0,0,0,0,0,0
Henry Ellenson,PF,0,0,0,0,0,0
Malik Beasley,SG,0,0,0,0,0,0
Kendall Williams,PG,10.83,2.85,0,27,33,0
Coleman Collins,PF,11.47,0,0,30,35,21
Caleb Swanigan,PF,12.8,0,0,26,29,0
Sonny Weems,SG0SF,10.58,0,2.96,29,36.5,12
Joe Alexander,SF0PF,11.33,0,2.99,32.5,38.5,24
Eric Gordon,SG,10.81,0,3.01,32,40,15
Marcus Thornton,PG0SG,10.78,2.88,3.02,34.5,43,3
Jereme Richmond,SF,11.74,0,3.02,27,33.5,0
Toney Douglas,PG,10.63,0,3.03,28,32.5,15
Brian Roberts,PG,10.65,0,3.05,31.5,36.5,10
Derrick Rose,PG,11.69,0,3.05,34.5,40,10
Jeremy Pargo,PG,10.65,0,3.07,32,37,7
Brandon Knight,PG,10.74,0,3.07,29,37.5,10
Jerryd Bayless,PG0SG,11.26,0,3.07,31,38,10
D.J. Augustin,PG,11.27,0,3.07,28.5,35,2
