date,team1,team2,score1,score2
2/24,山东,新疆,95,78
2/24,辽宁,广厦,124,114
2/24,四川,广东,91,111
2/24,深圳,上海,115,75
2/26,新疆,山东,119,104
2/26,广厦,辽宁,118,110
2/26,广东,四川,123,99
2/26,上海,深圳,107,99
3/1,新疆,山东,102,93
3/1,广厦,辽宁,100,117
3/1,广东,四川,119,97
3/1,上海,深圳,95,92
3/3,山东,新疆,102,108
3/3,辽宁,广厦,112,106
3/5,上海,深圳,95,102
3/10,新疆,辽宁,118,93
3/10,广东,深圳,130,113
3/12,新疆,辽宁,102,90
3/12,广东,深圳,98,88
3/15,辽宁,新疆,108,116
3/15,深圳,广东,109,90
3/17,辽宁,新疆,109,107
3/17,深圳,广东,81,90
3/19,辽宁,新疆,103,111
3/19,深圳,广东,90,103
3/31,新疆,广东,122,105
4/2,新疆,广东,103,97
4/5,广东,新疆,91,104
4/7,广东,新疆,109,117
