X,Y,Name,Position
-3.391933859,2.896979372,Zhou Qi,PF-C
0.250815896,-0.210629687,Zach LaVine,PG
0.231972796,-0.226708525,Zabian Dowdell,PG
0.002594913,-0.057812061,Yue Sun,SF
0.49646558,-0.077029689,Xavier Thames,PG
-0.017543178,-0.152027895,Xavier Henry,SG
0.306786735,0.013888086,Willie Warren,SG-PG
0.082439284,0.159940239,William Buford,SG-SF
-0.07229111,-0.061586381,Will Clyburn,SF-SG
0.153643319,-0.295933195,Will Barton,SG-SF
-0.101977415,-0.184928777,Wesley Johnson,SF
-0.057472443,-0.269253858,Wesley Iwundu,SG-SF
0.275590279,-0.079230773,Wayne Ellington,SG
0.160007758,-0.172045522,Wade Baldwin IV,PG
-0.46484143,0.159513832,Vladimir Golubovic,C
-0.012936541,-0.136530999,Vince Hunter,PF
0.176681368,-0.045448905,Victor Oladipo,SG
0.291846194,-0.13650988,Vander Blue,SG
0.005992978,-0.086936339,V.J. Beachem,SG-SF
0.472458416,-0.132413816,Tyus Jones,PG
0.413405303,-0.238860946,Tyshawn Taylor,PG
0.713751493,-0.139148088,Tyrone Brazelton,PG
-0.002050334,-0.02441007,Tyreke Evans,PG-SG
-0.203956347,0.188333296,Tyler Zeller,PF-C
0.904920307,-0.305543908,Tyler Ulis,PG
0.029630805,-0.036615005,Tyler Smith,SF
-0.227432472,0.273193089,Tyler Lydon,PF
0.046605101,-0.162777869,Tyler Honeycutt,SF
0.369010906,-0.010179799,Tyler Harvey,SG
-0.166669795,0.155337037,Tyler Hansbrough,PF
0.37815277,-0.181427336,Tyler Ennis,PG
0.373192427,-0.191028384,Tyler Dorsey,SG
0.670380614,-0.040120962,Ty Lawson,PG
0.543024582,-0.067862135,Tu Holloway,PG
0.092155048,0.167077836,Troy Williams,SF
-0.240230973,-0.025696791,Tristan Thompson,PF
-0.309984317,0.445749761,Trey Thompkins,PF
0.341446696,0.016333094,Trey Johnson,SG
0.452771126,-0.130565295,Trey Burke,PG
-0.269151318,-0.032056701,Trevor Mbakwe,PF
-0.071282472,0.090695672,Trevor Booker,PF
0.048877457,-0.069858784,Treveon Graham,SF
-0.164649313,0.315048695,Trent Plaisted,PF
0.078604958,-0.049234908,Travis Leslie,SG
0.163611715,-0.110015814,Tony Wroten,PG
-0.034956262,-0.187052072,Tony Snell,SF-SG
0.131209106,-0.032180778,Tony Mitchell,SG
-0.236606726,-0.012724286,Tony Mitchell,PF-SF
-0.559656036,0.270556688,Tony Bradley,C
0.441387194,-0.20761996,Toney Douglas,PG
-0.040901519,0.096565243,Tobias Harris,SF-PF
0.563884035,-0.0479082,TJ McConnell,PG
-0.151523197,0.036242578,TJ Leaf,PF
0.218011737,-0.062555068,Tim Hardaway Jr.,SG
-0.39792592,-0.035579007,Thon Maker,PF
-0.25394673,-0.00791135,Thomas Robinson,PF
-0.569399857,0.145652385,Thomas Bryant,PF-C
-0.025495917,-0.124568303,Thanasis Antetokounmpo,SF
-0.069181319,-0.135856861,Thaddeus Young,SF
0.332445228,-0.191471644,Terry Rozier,PG-SG
0.193675917,-0.195764528,Terrico White,SG-PG
0.083871764,-0.089872465,Terrence Williams,SG-SF
0.233472902,-0.177742895,Terrence Ross,SG-SF
-0.293117936,0.155443831,Terrence Jones,PF-SF
0.126162148,-0.156412176,Terrance Ferguson,SG-SF
0.003978295,-0.153355713,Terran Petteway,SG
-0.001211687,0.011071658,Taurean Prince,SF
0.632412374,-0.245997943,Taurean Green,PG
-0.299316858,0.26945086,TaShawn Thomas,PF
-0.134092203,0.254562563,Takais Brown,PF
-0.337166277,-0.077014387,Taj Gibson,PF
-0.03308966,0.080893124,T.J. Warren,SF
0.115635,0.197265898,Sylven Landesberg,SG
0.211794255,0.301927472,Svi Mykhailiuk,SG-SF
-0.463873288,0.124750968,Steven Adams,C
-0.400193254,0.248043719,Stephen Zimmerman,C
0.505042365,-0.139306144,Stephen Curry,PG-SG
-0.163413612,-0.169949347,Stephane Lasme,PF
0.396543328,-0.111297472,Stanley Burrell,PG
-0.40114992,0.40464181,Spencer Hawes,PF
0.089643368,-0.232723782,Sonny Weems,SG-SF
0.046008907,0.087468539,Solomon Hill,SF
-0.542272548,-0.03592952,Solomon Alabi,C
0.0769569,-0.019265571,Sindarius Thornwell,SG-SF
0.596072117,0.124038302,Sherron Collins,PG
0.361601486,-0.020378293,Shelvin Mack,PG
0.265940136,-0.109329863,Sheldon McClellan,SG
-0.288559852,0.372153991,Shaun Pruitt,C-PF
0.928573708,-0.218599066,Shane Larkin,PG
